GAME001,System,Start Game,2025-11-27T13:10:17,N/A,N/A,N/A,N/A,N/A
GAME001,System,Load File,2025-11-27T13:10:23,N/A,N/A,N/A,N/A,N/A
GAME001,System,Select Player Count,2025-11-27T13:10:31,null,0,2,N/A,0,
GAME001,John,Enter Player Name,2025-11-27T13:10:31,null,0,John,N/A,0,
GAME001,Freddy,Enter Player Name,2025-11-27T13:10:31,null,0,Freddy,N/A,0,
GAME001,John,Select Category,2025-11-27T13:10:35,Variables & Data Types,300,2,Correct,300,
GAME001,John,Select Question,2025-11-27T13:10:38,Variables & Data Types,300,2,Correct,300,
GAME001,John,Answer Question,2025-11-27T13:10:39,Variables & Data Types,300,2,Correct,300,
GAME001,System,Generate Report,2025-11-27T13:10:47,N/A,N/A,N/A,N/A,N/A
GAME001,System,Generate Event Log,2025-11-27T13:23:16,N/A,N/A,N/A,N/A,N/A
GAME001,System,Exit Game,2025-11-27T13:23:16,N/A,N/A,N/A,N/A,N/A
